title,source,content,url,image_url,video_url,priority,language
"טכנולוגיה: סטארט-אפ ישראלי גייס 100 מיליון דולר","Tech Israel","חברת הסייבר הישראלית SecureAI הודיעה על גיוס ענק של 100 מיליון דולר בסבב B בהובלת קרנות בינלאומיות",https://example.com/tech1,https://picsum.photos/800/600,https://example.com/video1.mp4,0.9,he
"ביטחון: תרגיל צבאי משותף עם ארה״ב","Defense News","צה״ל וצבא ארה״ב החלו תרגיל משותף בנגב שיימשך שבוע",https://example.com/defense1,https://picsum.photos/800/601,,0.8,he
"ספורט: מכבי תל אביב ניצחה את הפועל","Sports Daily","במשחק דרמטי מכבי ת״א ניצחה 3-2 את הפועל תל אביב",https://example.com/sports1,https://picsum.photos/800/602,,0.7,he
"Breaking: AI breakthrough in medical diagnosis","Tech Weekly","Revolutionary AI system detects cancer with 99% accuracy",https://example.com/tech2,https://picsum.photos/800/603,,0.95,en
"Politics: New coalition agreement signed","Political Times","Major parties reach historic agreement on climate policy",https://example.com/politics1,,,0.6,en
"מזג אוויר: גשמים כבדים צפויים","Weather IL","התראה: גשמים עזים וסופות ברקים בצפון הארץ",https://example.com/weather1,https://picsum.photos/800/604,,0.5,he
"כלכלה: השקל מתחזק מול הדולר","Finance Daily","הדולר ירד ל-3.65 שקלים, הרמה הנמוכה ביותר השנה",https://example.com/finance1,,,0.7,he
"תרבות: פסטיבל הקולנוע בירושלים","Culture News","פסטיבל הקולנוע הבינלאומי ה-40 נפתח עם שיא של 200 סרטים",https://example.com/culture1,https://picsum.photos/800/605,,0.6,he
"Technology: Quantum computing milestone","Science Today","IBM announces 1000-qubit quantum processor",https://example.com/tech3,https://picsum.photos/800/606,https://example.com/video2.mp4,0.85,en
"Sports: World Cup preparations begin","Sports International","Teams arrive in host country for upcoming tournament",https://example.com/sports2,https://picsum.photos/800/607,,0.75,en
"חינוך: רפורמה במערכת החינוך","Education IL","שר החינוך מכריז על שינויים מקיפים בתוכנית הלימודים",https://example.com/education1,,,0.65,he
"בריאות: פריצת דרך בטיפול בסרטן","Health News","חוקרים ישראלים פיתחו טיפול חדשני למחלות סרטן",https://example.com/health1,https://picsum.photos/800/608,,0.9,he
"Environment: Climate summit outcomes","Green News","World leaders commit to net-zero by 2050",https://example.com/environment1,,,0.8,en
"נדל״ן: מחירי הדירות ממשיכים לעלות","Real Estate Today","עלייה של 5% במחירי הדירות ברבעון האחרון",https://example.com/realestate1,https://picsum.photos/800/609,,0.7,he
"תחבורה: קו רכבת חדש לאילת","Transport News","הממשלה אישרה תקציב של 100 מיליארד שקל לרכבת לאילת",https://example.com/transport1,,,0.75,he
